"","SYMBOL","ENTREZID"
"690","MCPH1-AS1","100507530"
"691","RPS26P8","644191"
"692","LINC02210","147081"
"693","CFAP20DC","200844"
"694","SYMPK","8189"
"695","LHX6","26468"
"696","EPIC1","284930"
"697","MIR3201","100422916"
"698","LINC02497","102723778"
"699","MPDZ","8777"
"700","U6",NA
"701","LINC00161","118421"
"702","NDUFA12","55967"
"703","CUX2","23316"
"704","HAND1","9421"
"705","CIR1P1","100131740"
"706","STEAP3-AS1","100874111"
"707","DDX25","29118"
"708","ZNF629","23361"
"709","LINC02651","105378346"
"710","RPL5P26","100271206"
"711","ZBED5-AS1","729013"
"712","LINC02752","105376550"
"713","LINC00895","150185"
"714","SEPTIN5","5413"
"715","RPS19P6","100271078"
"716","RPS20P25","100271235"
"717","FAM240B","110806297"
"718","OTOGL","283310"
"719","RNU7-106P","106479066"
"720","DNAI2","64446"
"721","NPM1P11","10836"
"722","LINC01243","101929620"
"723","MTATP6P30","107075302"
"724","HTR1E","3354"
"725","RN7SL643P","106481098"
"726","EN2-DT","121832807"
"727","CLDN18","51208"
"728","HSPA8P9","402143"
"729","AICDA","57379"
"730","AP1S2P1","106480305"
"731","RPL7AP40","442712"
"732","ZKSCAN1","7586"
"733","AZGP1P1","646282"
"734","AKAP8P1","646114"
"735","JKAMPP1","100049717"
"736","CAMTA1","23261"
"737","SALL4P5","100130785"
"738","RANP7","100874192"
"739","ZCCHC10","54819"
"740","LINC02532","100422737"
"741","CD24","100133941"
"742","LINC00624","100289211"
"743","DYSF","8291"
"744","RPS20P10","100271081"
"745","TEX33",NA
"746","TST","7263"
"747","ASB3","51130"
"748","MIR4431","100616431"
"749","SGK1","6446"
"750","AGT","183"
"751","SH3RF1","57630"
"752","PLEKHM1","9842"
"753","LINC01081","101154687"
"754","PDPK2P","653650"
"755","PDPK1","5170"
"756","MIR548AE1","100616305"
"757","ZNF804A","91752"
"758","EMP1","2012"
"759","LINC01559","283422"
"760","MPP3","4356"
"761","CD300LG","146894"
"762","RAPGEF6","51735"
"763","LAMA1","284217"
"764","OTOF","9381"
"765","RN7SL636P","106481097"
"766","LINC01271","101927586"
"767","PYGL","5836"
"768","TRIM9","114088"
"769","RN7SKP122","106479148"
"770","RN7SL782P","106481133"
"771","CNTNAP5","129684"
"772","LINC02941","100507477"
"773","FILNC1","100132735"
"774","NR3C2","4306"
"775","NECAB1","64168"
"776","RASIP1","54922"
"777","LINC01712","101927542"
"778","OVCH1-AS1","101055625"
"779","MSANTD1","345222"
"780","LINC01756","101928460"
"781","LINC01648","101929406"
"782","TRIM51CP","100130105"
"783","ASIP","434"
"784","RPS2P1","140755"
"785","ZNF117","51351"
"786","MTDHP1","100418814"
"787","SZT2","23334"
"788","HYI","81888"
"789","ALOX12-AS1","100506713"
"790","SIK1","150094"
"791","LINC01679","101928399"
"792","LINC02518","105377957"
"793","SOCS5P5","643884"
"794","EEF1A1P28","442709"
"795","SLC66A2P1","106479032"
"796","CHN2","1124"
"797","INSIG1","3638"
"798","DSCAM","1826"
"799","LINC02131","105371350"
"800","ADAMTS18","170692"
"801","B3GALT1","8708"
"802","DCAF7","10238"
"803","RNU4-77P","106481196"
"804","KCNK1","3775"
"805","LINC02550","105369490"
"806","RNA5SP350","106481794"
"807","HPRT1P2","3254"
"808","RN7SKP207","106480897"
"809","SQSTM1","8878"
"810","HSPA8P5","399988"
"811","PARP11-AS1","105369609"
"812","WDR41","55255"
"813","STK33P1","553118"
"814","UBE2V1P10","102724605"
"815","MTND3P4","100873181"
"816","ARL2BPP7","100131629"
"817","ANXA10","11199"
"818","RN7SKP188","106479179"
"819","EFNA5","1946"
"820","PPP4R3A","55671"
"821","CCDC88C-DT","105370625"
"822","LINC02375","101927616"
"823","RAB3D","9545"
"824","TSPAN16","26526"
"825","RAB1A","5861"
"826","SNORA74",NA
"827","CDK13","8621"
"828","LINC00877","285286"
"829","RN7SL271P","106479321"
"830","STMN4","81551"
"831","MIR548H4","100313884"
"832","PDCD1LG2","80380"
"833","SESTD1","91404"
"834","RAD52P1","644776"
"835","L3MBTL4","91133"
"836","TPTE2P3","220115"
"837","ZNF813","126017"
"838","COL25A1","84570"
"839","COL18A1","80781"
"840","GATAD2A","54815"
"841","RNU4-67P","106481193"
"842","KRAS","3845"
"843","RAP1A","5906"
"844","DLX5","1749"
"845","TC2N","123036"
"846","LINC02986","123689089"
"847","RPSAP47","389672"
"848","INHCAP","100129696"
"849","PPIAP79","100289244"
"850","EDIL3-DT","105379057"
"851","CADPS2","93664"
"852","MSH2","4436"
"853","HSPG2","3339"
"854","LUZP2","338645"
"855","PFKP-DT","101927824"
"856","LINC02645","105376351"
"857","GGACT","87769"
"858","TMEM184A","202915"
"859","RNA5SP189","100873451"
"860","RAB9BP1","9366"
"861","RNA5SP459","100873703"
"862","TCF4","6925"
"863","KHDRBS2-OT1","112577463"
"864","SPRY2","10253"
"865","LINC01080","101515984"
"866","BMPR1AP2","100533800"
"867","SORL1-AS1","105369536"
"868","FAM135B","51059"
"869","MECOM","2122"
"870","RNU6-637P","106479848"
"871","TERC","7012"
"872","HID1-AS1","102723641"
"873","CDR2L","30850"
"874","KCNN2","3781"
"875","GYG1P2","647317"
"876","RNU6-67P","100873771"
"877","RNU7-156P","106479083"
"878","MIR5197","100846991"
"879","IGHEP1","3498"
"880","GALNT13","114805"
"881","ADGRB3","577"
"882","CDIN1","84529"
"883","RARB","5915"
"884","MAD1L1","8379"
"885","RABEPKP1","100421226"
"886","DACH1","1602"
"887","RAD23B","5887"
"888","ZNF462","58499"
"889","AHCYL1","10768"
"890","THEM7P","106480297"
"891","TIMP2","7077"
"892","CEP295NL","100653515"
"893","LINC02273","100996286"
"894","RNA5SP169","100873434"
"895","C10orf71","118461"
"896","CDH1","999"
"897","RIN3","79890"
"898","ATXN7L1","222255"
"899","RFPL4AP3","106480810"
"900","GBA3","57733"
"901","MYO16","23026"
"902","ATXN1-AS1","101928433"
"903","TRMT112P3","729667"
"904","MIR633","693218"
"905","U3",NA
"906","NMNAT1P2","100129160"
"907","LMX1A-AS1","102725140"
"908","LMX1A","4009"
"909","TFDP1P1","391158"
"910","LINC01774","105372894"
"911","RNU6-649P","106479854"
"912","LINC01248","102723818"
"913","RPS17P11","100271072"
"914","MFSD4BP1","100128154"
"915","MAILR","100506753"
"916","ADGRF2","222611"
"917","TRAIP","10293"
"918","KLHL4","56062"
"919","DACH2","117154"
